CODIGO;DESCRIPCION;PVP;PVD
#HERA-S-044011730W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1128 mm.;254211;213210
#HERA-S-044011731W;Luminaria Lineal de Sobreponer. LED 50W. 5.000?K. Dim. 0-10V. 120/277V. 1120 mm.;261983;219728
#HERA-S-044011754B;Luminaria Lineal Mini de Sobreponer. LED 50W. Dim. 0-10V. 4.000?K. 120/277V. 112;282874;237249
#HERA-S-044013130W;Luminaria Lineal de Sobreponer. LED 35W. 4.000?K. Dim.0-10V. 120/277V. 1128 mm.;202605;169927
#HERA-S-044013164B;Luminaria Lineal Mini de Sobreponer. LED 35W. 4.000?K. Dim.0-10V. 120/277V. 1128;210966;176939
#HERA-S-044013229B;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 110-277V.  1128 mm;225228;188901
#HERA-S-044013229W;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 110-277V.  1128 mm;223255;187246
#HERA-S-044013230B;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;216409;181504
#HERA-S-044013230W;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;214042;179520
#HERA-S-044013253W;Luminaria Lineal Mini de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 120/277V. 112;235081;197165
#HERA-S-044014064W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. DALI. 1128 mm. Color;231041;193776
#HERA-S-044014529B;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 110-277V.  1128 mm;208578;174936
#HERA-S-044014530B;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;200842;168448
#HERA-S-044014530W;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;208034;174480
#HERA-S-044014554B;Luminaria Lineal Mini de Sobreponer. LED 50W. Dim. 0-10V. 4.000?K. 120/277V. 112;230559;193372
#HERA-S-044014564B;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;204387;171421
#HERA-S-044014564W;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 1128;206085;172845
#HERA-S-064011753W;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. 110-277V. Dim.0-10V. 1688 mm.;346156;290324
#HERA-S-064012029W;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. 120/277V. 1688 mm. Color Blanc;304640;255505
#HERA-S-064013229B;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 3.000?K. Dim. 0-10V. 1688 mm.;282933;237299
#HERA-S-064014530W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1688 mm.;272759;228766
#HERA-S-084013230B;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 2248;356823;299271
#HERA-S-084013231W;Luminaria Lineal Mini de Sobreponer. LED 50W. 5.000?K. Dim.0-10V. 120/277V. 2248;376624;315878
#HERA-S-084013264B;Luminaria Lineal de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 2248 mm.;371777;311813
#HERA-S-084013830B;Luminaria Lineal de Sobreponer. LED 75W. 110-277V. 4.000?K. Dim. 0-10V. 2248;404046;338878
#HERA-S-084013930B;Luminaria Lineal de Sobreponer. LED 100W. 110-277V. 4.000?K. Dim. 0-10V. 2248;412028;345572
#HERA-S-084013963B;Luminaria Lineal de Sobreponer. LED 100W. 110-277V. 3.000?K. Dim. 0-10V. 2248;409431;343394
#HERA-S-084014530B;Luminaria Lineal Mini de Sobreponer. LED 50W. 4.000?K. Dim.0-10V. 120/277V. 2248;337644;283186
